location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked
LOST CREEK RESERVOIR,-84.067431,40.744618,131,2004,Saugeye,Fingerlings,15155
LEESVILLE LAKE,-81.194548,40.468665,1011,2004,Saugeye,Fingerlings,99792
BEACH CITY RESERVOIR,-81.557344,40.645061,141,2004,Saugeye,Fingerlings,10395
CLENDENING LAKE,-81.276497,40.268967,1702,2004,Saugeye,Fingerlings,276507
ROCKY FORK LAKE,-83.439915,39.185034,1953,2004,Saugeye,Fingerlings,311850
CAESAR CREEK LAKE,-84.061277,39.484992,2806,2004,Saugeye,Fingerlings,408524
BELLEVUE RESERVOIR #5,-82.776295,41.211745,85,2004,Saugeye,Fingerlings,10395
NORTH BALTIMORE RESERVOIR,-83.672003,41.172340,20,2004,Saugeye,Fingerlings,5198
RACCOON CREEK RESERVOIR,-82.976303,41.287540,36,2004,Saugeye,Fingerlings,6237
DELTA RESERVOIR #2,-84.013367,41.591180,52,2004,Saugeye,Fingerlings,8992
WAUSEON RESERVOIR #2,-84.149402,41.511667,50,2004,Saugeye,Fingerlings,8992
WAUSEON RESERVOIR #1,-84.151879,41.511738,11,2004,Saugeye,Fingerlings,4496
